Date,BTC,MSFT,SPY
2025-10-17,47.13999938964844,513.5800170898438,664.3900146484375
2025-10-20,49.099998474121094,516.7899780273438,671.2999877929688
2025-10-21,49.5,517.6599731445312,671.2899780273438
2025-10-22,47.709999084472656,520.5399780273438,667.7999877929688
2025-10-23,48.810001373291016,520.5599975585938,671.760009765625
2025-10-24,48.9900016784668,523.6099853515625,677.25
2025-10-27,50.900001525878906,531.52001953125,685.239990234375
2025-10-28,50.310001373291016,542.0700073242188,687.0599975585938
2025-10-29,48.970001220703125,541.5499877929688,687.3900146484375
2025-10-30,47.119998931884766,525.760009765625,679.8300170898438
2025-10-31,48.619998931884766,517.8099975585938,682.0599975585938
2025-11-03,47.20000076293945,517.030029296875,683.3400268554688
2025-11-04,44.56999969482422,514.3300170898438,675.239990234375
2025-11-05,45.97999954223633,507.1600036621094,677.5800170898438
2025-11-06,44.65999984741211,497.1000061035156,670.3099975585938
2025-11-07,45.95000076293945,496.82000732421875,670.969970703125
2025-11-10,46.93000030517578,506.0,681.4400024414062
2025-11-11,45.5,508.67999267578125,683.0
2025-11-12,44.939998626708984,511.1400146484375,683.3800048828125
2025-11-13,43.36000061035156,503.2900085449219,672.0399780273438
2025-11-14,41.720001220703125,510.17999267578125,671.9299926757812
2025-11-17,41.05500030517578,508.3319091796875,669.1300048828125
